x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
186,-0.0356,0.0337,0.9945,0.175,0.0175,0.2362,stationary_z_up
187,-0.0366,0.0343,0.9911,0.0787,-0.035,0.245,stationary_z_up
188,-0.0359,0.0324,0.9923,0.1925,0.0525,0.2188,stationary_z_up
189,-0.0364,0.0329,0.9951,0.1488,0.0437,0.2537,stationary_z_up
190,-0.0353,0.0339,0.9943,0.14,0.07,0.2188,stationary_z_up
191,-0.0364,0.0348,0.9944,0.2625,0.0262,0.2975,stationary_z_up
192,-0.0356,0.0331,0.9943,0.0613,0.035,0.2275,stationary_z_up
193,-0.0337,0.0339,0.9923,0.2537,0.175,0.2275,stationary_z_up
194,-0.0358,0.0339,0.9948,0.105,0.0613,0.2625,stationary_z_up
195,-0.0351,0.0337,0.994,0.1575,0.0875,0.245,stationary_z_up
196,-0.0364,0.0346,0.9938,0.175,-0.0175,0.2362,stationary_z_up
197,-0.0354,0.0342,0.9921,0.14,0,0.3237,stationary_z_up
198,-0.0361,0.0346,0.9924,0.3325,0.105,0.1663,stationary_z_up
199,-0.0354,0.0337,0.9917,0.2275,-0.0175,0.2625,stationary_z_up
200,-0.0351,0.0337,0.9931,0.1663,0.1575,0.2275,stationary_z_up
201,-0.0359,0.0334,0.9931,0.1488,0.0262,0.245,stationary_z_up
202,-0.0354,0.0334,0.9938,0.2188,0.0787,0.2362,stationary_z_up
203,-0.0368,0.0354,0.9942,0.1488,0.0175,0.2013,stationary_z_up
204,-0.0359,0.0339,0.9934,0.0962,-0.0437,0.2625,stationary_z_up
205,-0.0361,0.035,0.9948,0.1838,0.0875,0.2275,stationary_z_up
206,-0.0353,0.0342,0.9933,0.1488,0.0088,0.2537,stationary_z_up
207,-0.0356,0.0339,0.9945,0.2188,0.0875,0.1838,stationary_z_up
208,-0.0353,0.0337,0.9953,0.1488,0.035,0.245,stationary_z_up
209,-0.0354,0.0343,0.9941,0.1138,0.0962,0.2362,stationary_z_up
210,-0.0354,0.0335,0.9929,0.1225,0.0262,0.2713,stationary_z_up
