index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,segment_id,time_sec,segment_time_sec
169,3357482,-0.1487,-0.0381,0.831,0.2188,-2.4062,-0.35,999.981,smooth_accel_decel,0,10.14,10.14
170,3357542,-0.1407,0.0361,1.0395,1.1812,0.7525,-0.2537,999.9883,smooth_accel_decel,0,10.2,10.2
171,3357602,-0.0334,0.1027,1.0502,1.4088,-1.9512,-0.2713,999.979,smooth_accel_decel,0,10.26,10.26
172,3357662,-0.1406,0.0978,0.9367,-0.14,-0.8225,-0.6037,999.9705,smooth_accel_decel,0,10.32,10.32
173,3357722,-0.1335,-0.0042,1.025,0.3587,-0.7437,-0.4638,999.9807,smooth_accel_decel,0,10.38,10.38
174,3357782,-0.0365,0.0728,1.1446,-1.4787,-1.9425,-0.6037,999.9729,smooth_accel_decel,0,10.44,10.44
175,3357842,-0.1681,-0.0117,0.8882,0.4288,0.8313,-0.3413,999.9626,smooth_accel_decel,0,10.5,10.5
176,3357902,-0.091,0.1193,0.9922,-0.2625,0.4725,-0.3938,999.9668,smooth_accel_decel,0,10.56,10.56
177,3357962,-0.0575,0.071,0.9228,0.3063,-1.6187,-0.3413,999.9607,smooth_accel_decel,0,10.62,10.62
178,3358022,-0.0584,0.007,1.1783,1.1463,3.5438,-0.6737,999.9595,smooth_accel_decel,0,10.68,10.68
179,3358082,-0.1013,0.0864,1.0662,-1.715,1.3913,0.0175,999.9575,smooth_accel_decel,0,10.74,10.74
180,3358142,-0.1234,-0.0032,0.8356,-1.435,1.3388,-0.6562,999.9497,smooth_accel_decel,0,10.8,10.8
181,3358202,-0.0938,0.0143,0.9604,-0.14,0.5337,-0.1575,999.9353,smooth_accel_decel,0,10.86,10.86
182,3358262,-0.1324,-0.0342,0.8808,-3.4125,-1.1638,-0.2275,999.9456,smooth_accel_decel,0,10.92,10.92
183,3358322,-0.0986,-0.0204,0.9175,-1.715,1.9338,0.4812,999.9543,smooth_accel_decel,0,10.98,10.98
184,3358382,-0.0458,0.0144,1.107,0.2537,-0.5688,0.1312,999.928,smooth_accel_decel,0,11.04,11.04
185,3358442,-0.0925,0.0412,1.0063,1.225,1.4525,0.5337,999.9385,smooth_accel_decel,0,11.1,11.1
186,3358502,-0.0581,-0.0132,1.0082,-1.9512,0.0962,0.2013,999.9292,smooth_accel_decel,0,11.16,11.16
