index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
241,1983542,0.0642,-0.1671,1.0577,0.1312,1.2513,19.3988,1000.5203,weave,14.46
242,1983602,0.0,-0.2111,0.9502,0.8662,0.56,20.0725,1000.5222,weave,14.52
243,1983662,0.0487,-0.1455,0.9335,0.8575,-1.0412,20.23,1000.5159,weave,14.58
244,1983722,0.1059,-0.1357,1.1348,0.3762,-0.3938,20.545,1000.5098,weave,14.64
245,1983782,0.0115,-0.1998,0.9935,1.5662,2.0563,20.8162,1000.5044,weave,14.7
246,1983842,0.0693,-0.1706,0.9981,0.5863,0.3413,21.3762,1000.5029,weave,14.76
247,1983902,-0.0029,-0.1688,0.9626,0.6388,0.4288,21.8312,1000.5068,weave,14.82
248,1983962,0.0769,-0.1739,1.0317,-1.085,-1.575,22.225,1000.5056,weave,14.88
249,1984022,0.1083,-0.1596,1.0612,-0.28,-0.9712,22.365,1000.5129,weave,14.94
250,1984082,0.073,-0.1118,1.0338,1.6975,1.82,22.225,1000.5269,weave,15.0
251,1984142,0.0534,-0.2181,0.9726,1.4963,-1.3825,21.4287,1000.5376,weave,15.06
252,1984202,0.0986,-0.1252,1.1004,1.89,1.6363,21.8312,1000.5381,weave,15.12
253,1984262,0.0595,-0.11,0.9645,0.5688,0.8925,21.7437,1000.5142,weave,15.18
254,1984322,0.1039,-0.1711,0.985,1.0588,-1.4088,21.3412,1000.5232,weave,15.24
255,1984382,0.0941,-0.1645,1.1007,2.1,0.5512,21.455,1000.5288,weave,15.3
256,1984442,0.0486,-0.1415,0.9805,1.015,-0.9275,21.3062,1000.5266,weave,15.36
257,1984502,0.0303,-0.2086,0.9066,0.7262,-1.4612,21.665,1000.5295,weave,15.42
258,1984562,0.0659,-0.1071,1.0343,-0.98,1.2337,21.4463,1000.5347,weave,15.48
259,1984622,0.0573,-0.0851,0.9804,-0.5075,0.1138,21.63,1000.5361,weave,15.54
260,1984682,0.0468,-0.1418,1.0231,-0.5512,0.4288,21.35,1000.5398,weave,15.6
261,1984742,0.0396,-0.1755,1.035,-0.2975,0.5163,21.42,1000.5498,weave,15.66
262,1984802,0.0256,-0.1498,0.9801,0.5775,0.9975,20.965,1000.5525,weave,15.72
263,1984862,0.0063,-0.1851,0.9528,0.945,1.3212,21.2362,1000.5452,weave,15.78
264,1984922,0.0387,-0.1361,1.0033,2.2313,-0.3938,21.0788,1000.5479,weave,15.84
265,1984982,0.0644,-0.1169,1.1349,1.2687,1.0762,21.1225,1000.5425,weave,15.9
266,1985042,0.0162,-0.1503,1.0185,1.33,-2.0563,20.5012,1000.5381,weave,15.96
267,1985102,0.0719,-0.0935,1.1058,0.8662,1.715,19.8538,1000.5457,weave,16.02
268,1985162,0.0532,-0.1388,1.0011,0.49,0.245,18.76,1000.5527,weave,16.08
